id_evento,data_publicacao,fonte,titulo,pagina,municipio,localidade,tipo_camada,dimensao_analitica,tipo_relacao_variavel,codigo_variavel,nivel_criticidade,observacao,aproximacao_variavel,nota_analista,cod_loteamento,nivel_confianca_loteamento,papel_no_ciclo,id_caso_pressao,entra_ipst
TL_20260103_001,2026-01-03,Tribuna Liberal,Moradores de Hortolandia voltam a protestar contra mau cheiro da ETE Jatoba,1/4,Hortolândia,Jd. Jatoba / Res. Franceschini,PRESSAO_SOCIAL,infraestrutura_urbana,direta,SMIDS_EXT,alta,dado_auditavel,,Segunda manifestacao contra ETE Jatoba. Sabesp anunciara obras emergenciais ago/2025 (R$28M; prazo set/2025) e nova ETE selada para 2027. Mais de 15 bairros afetados; Jd. Jatoba e Res. Franceschini citados. Impacto documentado: saude; bem-estar e comercio local. R20 satisfeita: materia documenta progressao temporal (anos de reclamacoes; promessas descumpridas). Interface IU_01/IU_02. Chamada de capa p.1; materia completa p.4. | edicao=9642,jd_jatoba,alto,agravamento,IU_ETE_JATOBA_2025,sim
TL_20260103_002,2026-01-03,Tribuna Liberal,Sabesp aplica nova tarifa de agua e esgoto em Hortolandia a partir de 1 jan 2026,4,Hortolândia,nao_identificado,PRESSAO_SOCIAL,renda_trabalho,direta,SMIDS_EXT,media,dado_auditavel,,"Tarifa residencial media: R$6,40/m3 (vigencia 1jan2026). Sabesp contrasta com R$7,36 projetado no modelo estatal anterior (-15%). Pressao sobre orcamento familiar dos beneficiarios CadUnico. Contexto analitico: coincide com persistencia do odor ETE Jatoba (E1) — populacao paga mais por servico cuja qualidade nao melhorou. R23: recorrencia anual de reajustes. Serie estruturavel por semestre. | edicao=9642",nao_identificado,baixo,agravamento,RT_TARIFAS_SABESP_2026,sim
TL_20260103_003,2026-01-03,Tribuna Liberal,Policia Civil apura morte de bebe de um mes no Hospital Municipal de Hortolandia,4,Hortolândia,nao_identificado,PRESSAO_SOCIAL,capital_humano,direta,SMIDS_EXT,alerta,dado_auditavel,,Bebe masculino; 1 mes e 23 dias; entrada sem sinais vitais no HM Mario Covas em 31/12/2025. Hipotese medica: broncoaspiracao. BO registrado; corpo encaminhado ao IML de Americana. R21 aplicado: morte verificada → nunca contextual → direta. R25: evento individual aceito como proxy de mortalidade infantil (fenomeno coletivo estrutural) — condicional. Monitorar recorrencia; promover entra_ipst a sim se falha sistemica no cuidado neonatal for confirmada. | edicao=9642,nao_identificado,baixo,emergencia,,avaliar
TL_20260103_004,2026-01-03,Tribuna Liberal,Tarifas do transporte metropolitano sofrem reajuste e impactam regiao,3,Regional,Regional,IVS,infraestrutura_urbana,direta,SMIDS_EXT,media,dado_auditavel,IU_03,"Vigencia 6jan2026. Hortolandia-Campinas: R$6,50; Monte Mor-Hortolandia-Campinas: R$6,70. Afeta populacao CadUnico no deslocamento trabalho-residencia. Candidato canonico Condicao B: impacto coletivo + mensuracao + serie anual. Analogo ao E18 do corpus dez/2025-jan/2026 (referencia canonica Secao 24 v10.2). IU_03 como aproximacao de proxy de custo de mobilidade urbana. | edicao=9642",nao_identificado,baixo,agravamento,IU_TRANSPORTE_METROPOLITAN_2025,sim
TL_20260103_005,2026-01-03,Tribuna Liberal,Charge - Salario minimo passou a ser R$ 1.621,1,Hortolândia,nao_identificado,IVS,renda_trabalho,direta,RT_01,baixa,dado_auditavel,,Salario minimo nacional jan/2026: R$1.621. Input direto para calibracao de RT_01 (renda per capita CadUnico). Charge ironiza o reajuste como insuficiente ('passinho pra frente'). Nao gera ciclo local de pressao; alimenta o modelo IVS-H como dado estrutural. R22 nao se aplica (IVS; nao GOVERNANCA). | edicao=9642,nao_identificado,baixo,nao_aplicavel,,nao
TL_20260103_006,2026-01-03,Tribuna Liberal,Alertas da Defesa Civil entram na rotina e contribuem com prevencao de desastres,3,Regional,Regional,GOVERNANCA,infraestrutura_urbana,indireta,GOV_ESTADUAL,baixa,dado_auditavel,,Cell Broadcast ativo desde dez/2024. 216 alertas no primeiro ano; pico fev/2025 (59 alertas). 6.800 disparos SMS no Estado. R22 satisfeita: acao preventiva estrutural sem gatilho de pressao especifico. Relevancia para Hortolandia: municipio sujeito a temporais com impacto sobre saneamento e mobilidade (interface IU). | edicao=9642,nao_identificado,baixo,nao_aplicavel,,nao
TL_20260103_007,2026-01-03,Tribuna Liberal,Homem morre depois de atropelamento na Rodovia Zeferino Vaz em Paulinia,7,Paulínia,Regional,PRESSAO_SOCIAL,capital_humano,direta,SMIDS_EXT,alerta,dado_auditavel,,Vitima: homem 57 anos; ciclista; km 119 SP-332; atropelado em trecho de baixa iluminacao em 31/12/2025. Motorista sem alcool; veiculo recolhido por falta de licenciamento. Bicicleta apreendida; familiares acionados. R21: morte → nunca contextual → direta. R14 satisfeita: trabalhadores de Hortolandia utilizam SP-332 no deslocamento trabalho-residencia (perfil CadUnico). Ciclo CH_MORTES_TRANSITO_REGIONAL_2025 iniciado; ver E4 corpus 26/04/2026 para contexto de queda posterior. | edicao=9642,nao_identificado,baixo,emergencia,CH_MORTES_TRANSITO_REGIONAL_2025,sim
TL_20260103_008,2026-01-03,Tribuna Liberal,Artur inaugura 2026 como 1o bebe nascido em Hortolandia,6,Hortolândia,Jardim Amanda 2,CONTEXTO,capital_humano,contextual,SMIDS_EXT,baixa,caso_ilustrativo,,Narrativa celebratoria. Mae: Syang Vitoria; 23 anos; Jardim Amanda 2. Relevancia territorial: confirma populacao jovem em loteamento de alta concentracao CadUnico (dados internos SMIDS). Perfil de risco potencial: mae de 23 anos com neonato = familia candidata a beneficios. Nao gera ciclo de pressao; mantido por valor de rastreabilidade territorial. | edicao=9642,jd_amanda_2,alto,nao_aplicavel,,nao
TL_20260104_001,2026-01-04,Tribuna Liberal,Justica manda reu para Tribunal do Juri por matar mulher na presenca dos proprios filhos em Hortolandia,1/4,Hortolândia,nao_identificado,PRESSAO_SOCIAL,capital_humano,direta,SMIDS_EXT,alerta,dado_auditavel,,Femicidio de Jacira Martins dos Santos; executada a tiros dentro de casa na presenca do marido e dos filhos. Acusado: ex-parceiro; motivo futil (inconformismo com fim do relacionamento). 2a Vara Criminal: provas de materialidade (BO; laudos periciais; necropsia; analise de municoes); indícios de autoria solidos; prisao preventiva mantida. Dois qualificadores: motivo futil + recurso que impediu defesa. R21: violencia letal → nunca contextual → direta. Data exata do crime nao identificada na materia; decisao judicial jan/2026. Segundo caso confirmado do ciclo CH_VIOLENCIA_GENERO_2025. | edicao=9643,nao_identificado,baixo,agravamento,CH_VIOLENCIA_GENERO_2025,sim
TL_20260104_002,2026-01-04,Tribuna Liberal,Ana Perugini garante R$ 6 mi para saude de Hortolandia e faz historia,1/5,Hortolândia,nao_identificado,GOVERNANCA,capital_humano,indireta,GOV_ESTADUAL,baixa,dado_auditavel,,"Emendas parlamentares de Ana Perugini (PT-SP): R$6M custeio saude + R$253,3k cultura + R$246,6k assistencia social = R$6,5M para Hortolandia. Monte Mor: R$1,5M (saude). Nova Odessa: R$300k. Total estado: R$13,3M. R22 satisfeita: Frente Parlamentar Sistema Cross/SUS criada 2023; 10 audiencias publicas (7 em 2025; 1 em Hortolandia); pressao identificada = fila de espera consultas/exames/cirurgias SUS. Complementar: abertura da 1a sala fisica da Procuradoria Especial das Mulheres (Alesp) em 25/nov/2025 — resposta institucional ao ciclo CH_VIOLENCIA_GENERO_2025. Dados no Portal Transparencia SP. | edicao=9643",nao_identificado,baixo,resposta,CH_FILA_SUS_2025,nao
