id_evento,data_publicacao,fonte,titulo,pagina,municipio,localidade,tipo_camada,dimensao_analitica,tipo_relacao_variavel,codigo_variavel,nivel_criticidade,observacao,aproximacao_variavel,nota_analista,cod_loteamento,nivel_confianca_loteamento,papel_no_ciclo,id_caso_pressao,entra_ipst
E01,2026-02-13,Tribuna Liberal,Hortolândia inicia ano com entrega de uniformes e materiais escolares,6,Hortolândia,Jardim_Boa_Esperanca,GOVERNANCA,capital_humano,indireta,GOV_MUNICIPAL,baixa,dado_auditavel,CH_03,"25 mil estudantes rede municipal. 75 mil peças produzidas por bolsistas CQP II (Costura Industrial/SMIDS). Cerimônia: EMEI José Natalino Fonseca + EMEF Sônia Maria Denadai de Oliveira - ambas Jd. Boa Esperança. Kits: uniforme verão + inverno (abr/mai) + material escolar + mochila. Proxy CH_03 (frequência escolar) e redução de custo direto para famílias vulneráveis.",Jardim_Boa_Esperanca,alto,nao_aplicavel,,nao
E02,2026-02-13,Tribuna Liberal,Zezé celebra formatura de 66 alunos e reforça qualificação profissional,6,Hortolândia,Jardim_Nova_America,GOVERNANCA,renda_trabalho,indireta,GOV_MUNICIPAL,baixa,dado_auditavel,RT_02,"66 formandos Praça da Cidadania Jd. Nova América (inaugurada 2023). Cursos: informática + gastronomia + costura + beleza + banho e tosa. Gratuito com material incluso. Cerimônia em SP com 2 ônibus da prefeitura. Proxy RT_02 (desocupação) e RT_03 (informalidade). Complementa PROEMPH + PEI + SINE.",Jardim_Nova_America,alto,nao_aplicavel,,nao
E03,2026-02-13,Tribuna Liberal,1ª Vara Criminal aceita denúncia contra acusado de matar dentista em Hortolândia,9,Hortolândia,Jardim_Sao_Bento,GOVERNANCA,capital_humano,indireta,GOV_ESTADUAL,alta,dado_auditavel,,"Réu N.H.P.D.P.A. 30 anos. Vítima: dentista Marcelo Bacci Coimbra 64 anos. Crime: 7-8/12/2025 motel Jd. São Bento. Crimes: homicídio qualificado + ocultação de cadáver + extorsão + incêndio. MP-SP + 1ª Vara Criminal de Hortolândia. Defesa: acidente + queda + substâncias; necropsia inconclusiva por carbonização. Fase de instrução iniciada. Crime anterior ao corpus - resposta judicial registrada nesta edição.",Jardim_Sao_Bento,medio,resposta,CH_HOMICIDIO_MOTEL_2025,nao
E04,2026-02-13,Tribuna Liberal,Paço terá acessibilidade ampliada com rampas e mapa tátil em Hortolândia,8,Hortolândia,Jardim_Novo_Angulo,GOVERNANCA,capital_humano,indireta,GOV_MUNICIPAL,baixa,contexto_sociopolitico,,"Paço Municipal Palácio dos Migrantes Jd. Novo Ângulo. Adequação NBR 9050: rampas + sinalização podotátil interna/externa + mapa tátil nas entradas + sanitários adaptados. Prazo ~60 dias para licitação. Central TILS (Libras) operacional desde 09/02. 3 anexos em obras: Poupatempo+DSO / Mobilidade Urbana / Serviços Urbanos (previsão próximo mês). Relevância: acesso ao serviço público para PCD em situação de vulnerabilidade.",Jardim_Novo_Angulo,alto,nao_aplicavel,,nao
E05,2026-02-13,Tribuna Liberal,Centro de Especialidades implanta 2ª sala de Oftalmologia em Hortolândia,8,Hortolândia,Jardim_Green_Park,GOVERNANCA,capital_humano,indireta,GOV_MUNICIPAL,baixa,dado_auditavel,,"CEM Jd. Green Park. 2ª sala operacional desde 11/02. Equipamentos com recursos federais: projetor digital + refrator de Greens + autorrefrator + cadeira oftalmológica + lensômetro + oftalmoscópio + tonômetro. 6 oftalmologistas. +300 atendimentos/semana. Projetor digital permite exames em crianças não alfabetizadas e idosos. 18 especialidades no CEM.",Jardim_Green_Park,alto,nao_aplicavel,,nao
E06,2026-02-13,Tribuna Liberal,Projeto permite prioridade de matrículas a estudantes com deficiência em Hortolândia,9,Hortolândia,nao_identificado,GOVERNANCA,capital_humano,latente,GOV_MUNICIPAL,baixa,contexto_sociopolitico,,"Vereador Edivaldo Sousa Araújo (PP). PL garante matrícula PCD na escola municipal mais próxima da residência. Exige acessibilidade arquitetônica + comunicacional + profissionais qualificados. Comprovante de deficiência obrigatório. Custeado pela Secretaria de Educação. Em tramitação nas comissões permanentes - não votado em plenário. Potencial proxy CH_03 para subgrupo PCD.",nao_identificado,baixo,nao_aplicavel,,nao
E07,2026-02-13,Tribuna Liberal,Ana Perugini garante mais R$ 400 mil para HES e totaliza R$ 1.2 mi à saúde de Sumaré,9,Sumaré,Regional,GOVERNANCA,capital_humano,indireta,GOV_ESTADUAL,media,dado_auditavel,,"Dep. estadual Ana Perugini (PT). Emenda parlamentar 2025 paga jan/2026. Uso: contraste iodado não iônico para tomografias SUS. 2ª emenda para HES (acumulado R$ 800 mil) + R$ 400 mil para rede municipal Sumaré = R$ 1.2 mi em 2 anos. HES atende SUS de Hortolândia (1.200 internações + 1.050 cirurgias + 250 partos alto risco por mês). impacto_regional_hortolandia: Hortolândia depende do HES para referência especializada.",nao_identificado,baixo,nao_aplicavel,,nao
E08,2026-02-13,Tribuna Liberal,Dengue faz 1ª vítima fatal do ano em Americana,4,Americana,Regional,PRESSAO_SOCIAL,capital_humano,direta,SMIDS_EXT,alerta,dado_auditavel,CH_01,"Primeira morte por dengue na região em 2026. Vítima: homem 56 anos (Jd. da Paz/Americana) internado desde 3/1 e falecido 6/1/2026. Comorbidade: hipertensão arterial. 14 casos confirmados em Americana em 2026 vs 723 em jan/2025. Mutirão: +12.900 imóveis vistoriados. impacto_regional_hortolandia: mesma área endêmica Aedes aegypti. Proxy CH_01 (mortalidade evitável). Inaugura ciclo CH_DENGUE_REGIONAL_2026.",nao_identificado,baixo,emergencia,CH_DENGUE_REGIONAL_2026,avaliar
E09,2026-02-13,Tribuna Liberal,TJ-SP libera obra para construção da 3ª ponte sobre Rio Atibaia em Paulínia,7,Paulínia,Regional,CONTEXTO,infraestrutura_urbana,contextual,SMIDS_EXT,baixa,impacto_regional_hortolandia,,"Liminar desembargador Luis Fernando Nishi (2ª Câmara Reservada ao Meio Ambiente). Derruba suspensão desde dez/2025. 350 metros conectando Jd. Fortaleza/Calegaris com Alto dos Pinheiros e São José. Início jun/2023; previsão conclusão dez/2026. Reduzirá fluxo na Av. José Paulino. Relevância para Hortolândia: potencial proxy IPST-H (RT_06/RT_07 - deslocamento intermunicipal).",nao_identificado,baixo,nao_aplicavel,,nao
E10,2026-02-13,Tribuna Liberal,Por que os homens continuam a matar as mulheres?,2,Regional,Regional,CONTEXTO,capital_humano,contextual,SMIDS_EXT,baixa,contexto_sociopolitico,,"Artigo de opinião Eva Alterman Blay (FFLCH-USP). Tese: feminicídio é arma do patriarcado contra a revolução feminista (referência a Harari). Conecta institucionalização do feminismo (delegacias + secretarias de gênero) à resistência violenta estrutural. Relevância: contexto analítico do ciclo ativo CH_VIOLENCIA_GENERO_2025. Último agravamento do ciclo: E01 de 30/04/2026 (Jd. Boa Esperança).",nao_identificado,baixo,nao_aplicavel,CH_VIOLENCIA_GENERO_2025,nao
